name,url,summary
Ada Lovelace,https://en.wikipedia.org/wiki/Ada_Lovelace,"Augusta Ada King, Countess of Lovelace was an English mathematician and writer, chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine. "
Adele Goldberg (computer scientist),https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist),"Adele Goldberg is a computer scientist who participated in developing the programming language Smalltalk-80 and various concepts related to object-oriented programming while a researcher at the Xerox Palo Alto Research Center, in the 1970s."
Adele Goldstine,https://en.wikipedia.org/wiki/Adele_Goldstine,"Adele Goldstine was an American mathematician and computer programmer. She wrote the manual for the first electronic digital computer, ENIAC. "
Adele Mildred Koss,https://en.wikipedia.org/wiki/Milly_Koss,"Adele Mildred Koss, known as Milly Koss, was an American computing pioneer. The Association for Women in Computing awarded her an Ada Lovelace Award in 2000."
Anna Winlock,https://en.wikipedia.org/wiki/Anna_Winlock,"Anna Winlock was an American astronomer and human computer, one of the first members of female computer group known as ""the Harvard Computers."" She made the most complete catalog of stars near the north and south poles of her era. She is also remembered for her calculations and studies of asteroids. In particular, she did calculations on 433 Eros and 475 Ocllo."
Annalee Newitz,https://en.wikipedia.org/wiki/Annalee_Newitz,"Annalee Newitz is an American journalist, editor, and author of both fiction and nonfiction. They have written for the periodicals Popular Science and Wired. "
Annie Jump Cannon,https://en.wikipedia.org/wiki/Annie_Jump_Cannon,Annie Jump Cannon was an American astronomer whose cataloging work was instrumental in the development of contemporary stellar classification. With Edward C. 
Barbara Paulson,https://en.wikipedia.org/wiki/Barbara_Paulson,"Barbara Jean Paulson is an American former human computer at NASA's Jet Propulsion Laboratory and one of the first women scientists employed there. Paulson began working as a mathematician at JPL in 1948, where she calculated rocket trajectories by hand. She is among the women who made early progress at JPL."
Beatrice Mabel Cave-Browne-Cave,https://en.wikipedia.org/wiki/Beatrice_Mabel_Cave-Browne-Cave,"Beatrice Mabel Cave-Browne-Cave, MBE AFRAeS was an English mathematician who undertook pioneering work in the mathematics of aeronautics."
Beatrice Worsley,https://en.wikipedia.org/wiki/Beatrice_Worsley,"Beatrice ""Trixie"" Helen Worsley was the first female computer scientist in Canada. She received her Ph.D. degree from the University of Cambridge with Alan Turing and Douglas Hartree as advisers, the first Ph.D granted in what would today be known as computer science. "
Coraline Ada Ehmke,https://en.wikipedia.org/wiki/Coraline_Ada_Ehmke,"Coraline Ada Ehmke is a software developer and open source advocate based in Chicago, Illinois. She began her career as a web developer in 1994 and has worked in a variety of industries, including engineering, consulting, education, advertising, healthcare, and software development infrastructure."
Danielle George,https://en.wikipedia.org/wiki/Danielle_George,Danielle Amanda George MBE is a Professor of Radio frequency engineering in the School of Electrical and Electronic Engineering and Associate Dean for Teaching and Learning at the University of Manchester in the UK.
Diane Kelly (computer scientist),https://en.wikipedia.org/wiki/Diane_Kelly_(computer_scientist),"Diane Kelly is an American Computer Scientist, notable for her work on the analysis of information seeking behaviours, and the development of experimental methods to support further research in the field. "
Dona Bailey,https://en.wikipedia.org/wiki/Dona_Bailey,"Dona Bailey is an American video game programmer and educator who, along with Ed Logg in 1981, created the arcade video game Centipede."
Donna Strickland,https://en.wikipedia.org/wiki/Donna_Strickland,"Donna Theo Strickland is a Canadian optical physicist and pioneer in the field of pulsed lasers. She was awarded the Nobel Prize in Physics in 2018, together with Gérard Mourou, for the invention of chirped pulse amplification."
Edith Clarke,https://en.wikipedia.org/wiki/Edith_Clarke,"Edith Clarke was the first woman to be professionally employed as an electrical engineer in the United States, and the first female professor of electrical engineering in the country. "
Elizabeth J. Feinler,https://en.wikipedia.org/wiki/Elizabeth_J._Feinler,"Elizabeth Jocelyn ""Jake"" Feinler is an American information scientist. From 1972 until 1989 she was director of the Network Information Systems Center at the Stanford Research Institute."
Ellen Spertus,https://en.wikipedia.org/wiki/Ellen_Spertus,"Ellen R. Spertus is Elinor Kilgore Snyder Professor of computer science at Mills College, Oakland, California, United States, and a former senior research scientist at Google.
Spertus grew up in Glencoe, Illinois, where she attended New Trier High School. "
Erna Schneider Hoover,https://en.wikipedia.org/wiki/Erna_Schneider_Hoover,"Dr. Erna Schneider Hoover is an American mathematician notable for inventing a computerized telephone switching method which ""revolutionized modern communication"" according to several reports. "
Frances Spence,"https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales","Diana, Princess of Wales, was a member of the British royal family. She was the first wife of Charles, Prince of Wales, and the mother of Prince William and Prince Harry. "
Gwen Bell,https://en.wikipedia.org/wiki/Gwen_Bell,"Gwen Bell was the first president of The Computer Museum in Boston, which she co-founded with her husband Gordon Bell."
Jaime Levy,https://en.wikipedia.org/wiki/Jaime_Levy,"Jaime Levy is an American author, lecturer, interface designer, and user experience strategist. She first became known for her new media projects in the 1990s."
Jude Milhon,https://en.wikipedia.org/wiki/Jude_Milhon,"Judith [Jude] Milhon, in Washington D.C., best known by her pseudonym St. Jude, was a hacker and author in the San Francisco Bay Area.
Milhon coined the term cypherpunk and was a founding member of the cypherpunks. On July 19, 2003, Milhon died of cancer."
Judy Clapp,https://en.wikipedia.org/wiki/Judy_Clapp,"Judith A. Clapp is a computer scientist who began her career at the Massachusetts Institute of Technology and subsequently moved to the Lincoln Laboratory and then to MITRE, where she was involved in the Semi-Automatic Ground Environment military project, including the development of the SAGE computer."
Kateryna Yushchenko (scientist),https://en.wikipedia.org/wiki/Kateryna_Yushchenko_(scientist),"Kateryna Lohvynivna Yushchenko was a Ukrainian computer and information research scientist, corresponding member of USSR Academy of Sciences, and member of The International Academy of Computer Science. "
Katherine Johnson,https://en.wikipedia.org/wiki/Katherine_Johnson,Katherine Coleman Goble Johnson is an American mathematician whose calculations of orbital mechanics as a NASA employee were critical to the success of the first and subsequent U.S. crewed spaceflights. 
Kathleen Booth,https://en.wikipedia.org/wiki/Kathleen_Booth,"Kathleen Booth wrote the first assembly language and designed the assembler and autocode for the first computer systems at Birkbeck College, University of London. She helped design three different machines including the ARC, SEC, and APE(X)C."
Klara Dan von Neumann,https://en.wikipedia.org/wiki/Klara_Dan_von_Neumann,"Klára Dán von Neumann was a Hungarian-American computer scientist, noted as one of the first computer programmers."
Lixia Zhang,https://en.wikipedia.org/wiki/Lixia_Zhang,"Lixia Zhang is the Jonathan B. Postel Professor of Computer Science at the University of California, Los Angeles. Her expertise is in computer networks; she helped found the Internet Engineering Task Force, designed the Resource Reservation Protocol, coined the term ""middlebox"", and pioneered the development of named data networking."
Lucy Sanders,https://en.wikipedia.org/wiki/Lucy_Sanders,"Lucinda ""Lucy"" Sanders is the current CEO and a co-founder of the National Center for Women &amp; Information Technology. She is the recipient of many distinguished honors in the STEM fields, including induction into the US News STEM Leadership Hall of Fame in 2013."
Margaret Hamilton (scientist),https://en.wikipedia.org/wiki/Margaret_Hamilton_(software_engineer),"Margaret Heafield Hamilton is an American computer scientist, systems engineer and business owner. She was director of the Software Engineering Division of the MIT Instrumentation Laboratory, which developed on-board flight software for NASA's Apollo space program. "
Margot Lee Shetterly,https://en.wikipedia.org/wiki/Margot_Lee_Shetterly,"Margot Lee Shetterly is an American non-fiction writer who has also worked in investment banking and media startups. Her first book, Hidden Figures: The Story of the African-American Women Who Helped Win the Space Race, is about African-American women mathematicians working at NASA who were instrumental to the success of the United States space program. "
Mary K. Hawes,https://en.wikipedia.org/wiki/Mary_K._Hawes,"Mary K. Hawes was a computer scientist who identified the need for a common business language in accounting, which led to the development of COBOL. COBOL is short for Common Business Oriented Language. It was written to resemble ordinary English. "
Mary Lou Jepsen,https://en.wikipedia.org/wiki/Mary_Lou_Jepsen,"Mary Lou Jepsen is a technical executive and inventor in the fields of display, imaging, and computer hardware. Her contributions have had worldwide adoption in head-mounted display, HDTV, laptop computers, and projector products; she was the technical force behind a generation of low-cost computing, and innovative consumer and medical imaging technologies. "
Michelle Simmons,https://en.wikipedia.org/wiki/Michelle_Simmons,"Michelle Yvonne Simmons, AO FRS FAA FRSN FTSE is a Scientia Professor of Quantum Physics in the Faculty of Science at the University of New South Wales and has twice been an Australian Research Council Federation Fellow and is an Australian Research Council Laureate Fellow. "
Mirella Lapata,https://en.wikipedia.org/wiki/Mirella_Lapata,"Mirella Lapata FRSE is a computer scientist and Professor in the School of Informatics at the University of Edinburgh. Working on the general problem of extracting semantic information from large bodies of text, Lapata develops computer algorithms and models in the field of natural language processing."
Nadia Magnenat Thalmann,https://en.wikipedia.org/wiki/Nadia_Magnenat_Thalmann,Professor Nadia Magnenat Thalmann is an eminent computer graphics scientist and robotician and is the founder and head of MIRALab at the University of Geneva. 
Nancy Hafkin,https://en.wikipedia.org/wiki/Nancy_Hafkin,"Nancy Hafkin is a pioneer of networking and development information and electronic communications in Africa, spurring the Pan African Development Information System of the United Nations Economic Commission for Africa from 1987 until 1997."
Nicole-Reine Lepaute,https://en.wikipedia.org/wiki/Nicole-Reine_Lepaute,"Nicole-Reine Lepaute, was a French astronomer and mathematician. Lepaute predicted the return of Halley's Comet by calculating the timing of a solar eclipse and constructing a group of catalogs for the stars.
"
Pamela Hardt-English,https://en.wikipedia.org/wiki/Pamela_Hardt-English,"Pamela Hardt-English is an American food scientist and computer scientist who created Resource One, a people's computing center in 1972 at Project One, a ""technological commune"" in San Francisco, California."
Roberta Williams,https://en.wikipedia.org/wiki/Roberta_Williams,"Roberta Williams is an American video game designer, writer, and a co-founder of Sierra On-Line, who developed her first game while living in Simi Valley, California. "
Rosemary Candlin,https://en.wikipedia.org/wiki/Rosemary_Candlin,"Rosemary Candlin is a crystalographer and computer scientist who joined the University of Edinburgh Computer Science Department shortly after it was first established, and for some time was the only woman lecturer on the staff. "
Stacy Horn,https://en.wikipedia.org/wiki/Stacy_Horn,"Stacy Horn is an American author, businesswoman and occasional journalist. She grew up on Long Island, New York and received a B.F.A. from Tufts University and the School of the Museum of Fine Arts. "
Susan Kare,https://en.wikipedia.org/wiki/Susan_Kare,Susan Kare is an artist and graphic designer best known for her interface elements and typeface contributions to the first Apple Macintosh in the 1980s.
Wendy Hall,https://en.wikipedia.org/wiki/Wendy_Hall,"Dame Wendy Hall, DBE, FRS, FREng is a British computer scientist. She is Regius Professor of Computer Science at the University of Southampton."
Hu Qiheng,https://en.wikipedia.org/wiki/Hu_Qiheng,Hu Qiheng is a Chinese computer scientist. Hu was the vice president of the Chinese Academy of Sciences from 1987 to 1996 and led the National Computing and Networking Facility of China which connected China to the Internet in April 1994. Hu was inducted into the Internet Hall of Fame in 2013 as a global connector.